0 0 10000
-295 262 5 9
-400 -150 2 8
499 -445 9 6
193 223 5 3
-265 263 1 6
140 306 2 2
371 -273 1 3
-76 221 7 2
77 -455 1 0
-289 -431 5 4
-268 459 2 7
76 481 7 6
6 -63 8 7
70 158 7 8
306 472 8 7
-69 83 8 0
-211 301 7 6
-406 45 6 9
-218 -495 8 1
-455 -295 4 8
456 18 4 1
-421 481 6 6
9 60 1 8
140 -348 7 6
-24 -446 2 5
39 -294 3 5
-320 -37 9 1
255 52 6 2
314 -482 1 1
253 127 9 6
-27 -495 1 9
102 323 7 3
-351 197 5 4
56 53 3 7
367 255 3 4
98 -78 2 7
74 280 9 6
179 -220 1 7
-165 -451 7 8
210 410 4 3
-256 383 7 6
-130 137 3 1
-76 -209 7 7
-230 -55 3 6
277 -258 7 7
349 330 2 5
-224 -270 5 4
388 62 1 3
-104 -201 4 0
11 349 3 9
290 -379 8 2
-66 171 7 6
72 -392 9 4
-148 423 7 0
63 251 6 5
-121 63 6 3
-385 -426 4 9
-12 234 4 1
-246 -153 2 3
-338 106 6 7
264 40 5 0
387 -40 7 2
-490 184 3 3
400 407 7 8
-200 450 4 6
-203 50 9 2
341 -311 8 5
-290 188 4 3
4 -13 8 8
-198 287 6 4
335 21 1 7
28 -486 5 2
-496 -409 8 9
-329 -311 5 3
-468 328 7 4
-248 347 6 6
247 -55 2 4
-480 38 8 6
138 349 5 8
-384 -458 5 5
334 423 2 0
-25 228 6 3
125 397 2 3
54 -48 9 5
-337 441 6 6
284 204 3 9
204 222 2 7
-433 -338 8 9
-445 443 4 1
-232 72 9 2
-31 -178 4 4
55 -340 7 4
222 -31 6 0
83 211 6 9
-90 -24 8 4
-36 -373 8 4
-201 141 5 5
336 -427 7 7
424 371 3 3
-76 -447 2 5
171 309 6 2
423 -223 1 9
-331 369 1 8
462 -113 2 2
328 470 3 8
484 178 4 2
-167 -276 1 8
403 -98 3 0
341 -270 3 3
10 -248 3 8
-191 274 5 6
418 -232 1 7
-147 212 8 3
29 250 2 4
-33 -404 8 5
142 499 4 9
433 361 7 6
-98 345 4 4
-306 51 9 9
293 422 1 9
269 -198 6 6
260 -169 3 2
185 339 2 1
252 -65 8 8
350 54 9 5
407 432 1 5
252 -66 2 6
-185 -473 6 2
96 -427 6 8
-461 48 6 6
178 -343 6 9
-438 -481 8 4
114 -107 8 6
-388 346 8 3
-311 -369 1 8
-359 -498 6 5
-162 328 2 9
-130 290 8 4
-470 -307 3 6
-281 14 5 4
411 324 3 6
345 17 3 1
103 -23 9 3
218 131 6 9
-366 -337 2 7
-314 -247 8 8
-378 90 4 1
7 446 2 7
88 61 1 5
438 178 6 1
-40 499 6 4
-29 -423 6 7
-281 -256 8 0
224 322 9 8
-213 -349 7 3
-210 -25 5 9
-259 88 3 1
283 -217 5 6
-173 126 6 4
-232 -243 1 1
-281 -187 9 6
-97 -181 6 8
207 29 9 5
263 -319 4 2
194 402 9 8
-484 470 6 9
172 486 4 0
-342 -330 1 2
-107 -261 2 2
-110 166 1 7
-435 209 1 4
-391 -383 9 7
173 252 7 8
55 -462 2 3
-273 -191 6 5
404 236 1 2
-472 -173 4 7
86 291 5 8
342 -108 9 3
241 -29 5 1
-421 90 5 7
378 -346 9 3
293 185 2 9
-230 108 9 1
-360 -175 4 0
153 114 8 9
-55 -379 9 2
360 363 9 0
443 -134 8 3
-359 -136 4 5
154 307 4 8
241 473 8 5
-41 -133 7 3
-84 459 2 2
-204 132 5 6
-142 492 5 0
99 -390 2 8
-167 452 5 2
484 -479 9 1
-236 -393 1 0
-292 -18 5 6
-16 26 5 6
456 -427 4 5
269 -330 5 5
8 -275 9 2
172 245 1 4
205 438 9 6
422 -156 5 4
36 469 6 5
132 -461 8 0
412 214 6 1
477 -172 2 6
463 388 5 0
337 -383 7 0
383 90 1 9
-236 144 6 8
278 84 2 6
-183 -324 2 5
104 76 2 8
438 -124 6 7
-267 -197 4 8
341 324 1 0
-472 154 5 7
-440 272 7 4
156 483 3 1
-191 342 8 0
-400 -362 1 6
60 356 6 1
372 -343 9 6
144 -484 6 6
-314 217 9 3
248 -88 9 8
66 278 5 9
